"","country","region","fertility","gdp_pc","edu_sec","life_expectancy"
"1","Afghanistan","South Asia",5.327,491.337221382603,57.3578491210938,62.443
"2","Albania","Europe & Central Asia",1.415,5365.48880180298,98.822387862215,79.238
"3","Algeria","Middle East & North Africa",3.019,4577.21029180491,NA,75.555
"4","American Samoa","East Asia & Pacific",2.494,12552.0546868861,NA,72.794
"5","Andorra","Europe & Central Asia",1.053,42819.7745797624,95.9804306030273,84.242
"6","Angola","Sub-Saharan Africa",5.519,2538.59139143371,NA,62.622
"7","Antigua and Barbuda","Latin America & Caribbean",1.371,18273.4270684912,121.685249328613,77.132
"8","Argentina","Latin America & Caribbean",2.067,11752.7998922979,109.671241760254,76.77
"9","Armenia","Europe & Central Asia",1.6,4196.00562301769,83.0249410833595,75.619512195122
"10","Aruba","Latin America & Caribbean",1.732,30082.1276448186,137.829788208008,75.88
"11","Australia","East Asia & Pacific",1.74,57196.4220783778,136.105545043945,82.7487804878049
"12","Austria","Europe & Central Asia",1.47,51194.0749841299,100.692596435547,81.6926829268293
"13","Azerbaijan","Europe & Central Asia",1.73,4739.7943123408,108.488781124,73.016
"14","Bahamas, The","Latin America & Caribbean",1.404,32642.3353203452,80.8808929269834,74.062
"15","Bahrain","Middle East & North Africa",1.911,26324.4066549559,100.701887411111,80.412
"16","Bangladesh","South Asia",2.193,1965.24372731467,65.2714888764112,72.122
"17","Barbados","Latin America & Caribbean",1.72,20055.915870771,108.216751098633,76.378
"18","Belarus","Europe & Central Asia",1.448,6360.037502312,101.596010989492,74.1756097560976
"19","Belgium","Europe & Central Asia",1.62,47487.2100392561,156.509765625,81.5951219512195
"20","Belize","Latin America & Caribbean",2.343,6031.28139580144,86.2833561409511,72.322
"21","Benin","Sub-Saharan Africa",5.031,1151.7409703472,NA,59.71
"22","Bermuda","North America",1.374,113204.82210838,NA,80.986
"23","Bhutan","South Asia",1.517,3400.20417245342,87.5722870683987,71.711
"24","Bolivia","Latin America & Caribbean",2.73,3500.72642189887,88.7218999579042,67.699
"25","Bosnia and Herzegovina","Europe & Central Asia",1.504,6047.84584261133,85.6409912109375,77.942
"26","Botswana","Sub-Saharan Africa",2.941,7407.95940141786,NA,66.371
"27","Brazil","Latin America & Caribbean",1.744,9300.66164923219,105.00707244873,75.633
